TOTAL ROUTES: 351

VERB	PATH	SCREEN	GUARDS	FILE
POST	/api/meta/forms	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/leads	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/pages	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
POST	/api/meta/pages/refresh	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/status	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
POST	/api/meta/sync	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/sync-history	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/webhook	-	-	meta/meta-public.controller.ts
POST	/api/meta/webhook	-	-	meta/meta-public.controller.ts
GET	/api/meta/webhook-health	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/mls	mls:view	AuthGuard+ScreenGuard	mls/mls.controller.ts
GET	/api/mls/:key	mls:view	AuthGuard+ScreenGuard	mls/mls.controller.ts
GET	/api/mls/status	mls:view	AuthGuard+ScreenGuard	mls/mls.controller.ts
GET	/api/onboarding/:kind/attachments/:attachmentId	-	AuthGuard+AdminGuard	users/users.controller.ts
POST	/api/register	-	-	auth/auth.controller.ts
GET	/api/registration-open	-	-	auth/auth.controller.ts
GET	/api/reminder-notifications	-	AuthGuard	notifications/notifications.controller.ts
GET	/api/reports	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
GET	/api/reports/:reportType/columns	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
POST	/api/reports/:reportType/export/pdf	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
POST	/api/reports/:reportType/export/xlsx	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
POST	/api/reports/:reportType/search	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
GET	/api/reports/documents/:transactionId	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
GET	/api/reports/filter-options	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
POST	/api/reports/reminders/preview	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
POST	/api/reports/reminders/send	-	AuthGuard+ScreenGuard	reports/reports.controller.ts
GET	/api/review-notifications	-	AuthGuard	notifications/notifications.controller.ts
GET	/api/roles	users:view	AuthGuard+ScreenGuard	core/roles.controller.ts
POST	/api/roles	users:edit	AuthGuard+ScreenGuard	core/roles.controller.ts
DELETE	/api/roles/:role	users:edit	AuthGuard+ScreenGuard	core/roles.controller.ts
PATCH	/api/roles/:role	users:edit	AuthGuard+ScreenGuard	core/roles.controller.ts
PUT	/api/roles/:role/permissions	users:edit	AuthGuard+ScreenGuard	core/roles.controller.ts
GET	/api/sanctum/csrf-cookie	-	-	auth/auth.controller.ts
GET	/api/sms/status	lead:view	AuthGuard+ScreenGuard	sms/sms.controller.ts
POST	/api/sms/twilio/call-status	-	-	sms/sms-public.controller.ts
POST	/api/sms/twilio/inbound	-	-	sms/sms-public.controller.ts
POST	/api/sms/twilio/recording-status	-	-	sms/sms-public.controller.ts
POST	/api/sms/twilio/status	-	-	sms/sms-public.controller.ts
GET	/api/suggestions/brokerages	-	AuthGuard	suggestions/suggestions.controller.ts
GET	/api/suggestions/lawyers	-	AuthGuard	suggestions/suggestions.controller.ts
GET	/api/transaction-imports	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
POST	/api/transaction-imports/:batchId/confirm	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
GET	/api/transaction-imports/:batchId/errors	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
GET	/api/transaction-imports/sample	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
GET	/api/transaction-imports/template	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
POST	/api/transaction-imports/validate	-	AuthGuard+ScreenGuard	reports/transaction-import.controller.ts
GET	/api/transaction-types	-	AuthGuard	reference/reference.controller.ts
GET	/api/transactions	-	AuthGuard	transactions/transactions.controller.ts
POST	/api/transactions	transactions:edit	AuthGuard+ScreenGuard	transactions/transactions.controller.ts
DELETE	/api/transactions/:transaction	transactions:edit	AuthGuard+ScreenGuard	transactions/transactions.controller.ts
GET	/api/transactions/:transaction	-	AuthGuard	transactions/transactions.controller.ts
PUT	/api/transactions/:transaction	transactions:edit	AuthGuard+ScreenGuard	transactions/transactions.controller.ts
POST	/api/transactions/:transaction/delete-requests	-	AuthGuard	workflows/delete-requests.controller.ts
POST	/api/transactions/:transaction/deposit-receipt/send	transactions:edit	AuthGuard+ScreenGuard	quick-actions/quick-actions.controller.ts
POST	/api/transactions/:transaction/doc-notifications/seen	-	AuthGuard	notifications/notifications.controller.ts
GET	/api/transactions/:transaction/documents	-	AuthGuard	documents/documents.controller.ts
PUT	/api/transactions/:transaction/documents	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
POST	/api/transactions/:transaction/documents/:document/file	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
POST	/api/transactions/:transaction/documents/:document/files	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
DELETE	/api/transactions/:transaction/documents/:document/files/:index	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
DELETE	/api/transactions/:transaction/documents/:document/validation-file	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
POST	/api/transactions/:transaction/documents/:document/validation-file	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
GET	/api/transactions/:transaction/documents/download-all	-	AuthGuard	documents/documents.controller.ts
POST	/api/transactions/:transaction/documents/send-reminders	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
POST	/api/transactions/:transaction/edit-requests	-	AuthGuard	workflows/edit-requests.controller.ts
GET	/api/transactions/:transaction/identifications	-	AuthGuard	fintrac/client-identification.controller.ts
PUT	/api/transactions/:transaction/identifications	transactions:edit	AuthGuard+ScreenGuard	fintrac/client-identification.controller.ts
POST	/api/transactions/:transaction/identifications/extract	transactions:edit	AuthGuard+ScreenGuard	fintrac/client-identification.controller.ts
POST	/api/transactions/:transaction/invoices	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
GET	/api/transactions/:transaction/messages	-	AuthGuard	transactions/messages.controller.ts
POST	/api/transactions/:transaction/messages	-	AuthGuard	transactions/messages.controller.ts
